                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2806,                0.83948,                 1.1758,                0.80742,                0.60249,                0.73935,                0.51796,                 1.1164,                0.69181,                 1.0803,              0.0033329,              0.0033329,              0.0033329
                      2,                 1.3315,                0.88517,                 1.2013,                0.78169,                 0.6073,                0.73475,                0.50798,                 1.1755,                0.72862,                 1.1088,              0.0066002,              0.0066002,              0.0066002
                      3,                 1.4066,                 0.9558,                 1.2405,                0.78695,                0.58611,                0.72058,                0.49017,                 1.2323,                0.78702,                 1.1393,              0.0098015,              0.0098015,              0.0098015
                      4,                 1.4703,                 1.0174,                 1.2762,                0.76791,                0.59292,                 0.7188,                0.48898,                 1.2433,                0.79968,                  1.148,               0.009703,               0.009703,               0.009703
                      5,                 1.4714,                 1.0176,                 1.2793,                0.78489,                 0.5873,                0.72114,                0.49152,                 1.2264,                0.78532,                 1.1408,               0.009703,               0.009703,               0.009703
                      6,                 1.4642,                 1.0099,                 1.2763,                0.77403,                0.59763,                0.72482,                 0.4955,                 1.2194,                0.77262,                  1.135,               0.009604,               0.009604,               0.009604
                      7,                 1.4553,                 1.0046,                 1.2708,                0.79355,                0.58986,                 0.7254,                0.49702,                 1.2081,                 0.7709,                 1.1308,               0.009505,               0.009505,               0.009505
                      8,                  1.453,                0.99906,                 1.2669,                0.79184,                0.59551,                0.72811,                0.50119,                 1.1935,                0.75833,                 1.1218,               0.009406,               0.009406,               0.009406
                      9,                 1.4438,                0.99218,                 1.2639,                0.80042,                0.59371,                0.72992,                0.50288,                 1.1852,                0.75132,                 1.1188,               0.009307,               0.009307,               0.009307
                     10,                 1.4392,                 0.9864,                 1.2571,                0.80735,                0.59246,                0.73132,                0.50367,                 1.1812,                 0.7484,                 1.1147,               0.009208,               0.009208,               0.009208
                     11,                 1.4374,                0.98838,                 1.2578,                0.80714,                0.59418,                0.73221,                  0.506,                 1.1738,                0.74402,                 1.1112,               0.009109,               0.009109,               0.009109
                     12,                 1.4304,                0.97889,                 1.2545,                0.80729,                0.59604,                0.73327,                0.50786,                 1.1679,                0.73835,                 1.1083,                0.00901,                0.00901,                0.00901
                     13,                  1.426,                0.97477,                 1.2511,                0.81132,                0.59559,                0.73406,                 0.5088,                 1.1649,                0.73522,                  1.106,               0.008911,               0.008911,               0.008911
                     14,                  1.426,                0.97255,                 1.2491,                0.81262,                 0.5957,                0.73465,                0.50973,                 1.1613,                0.73342,                 1.1041,               0.008812,               0.008812,               0.008812
                     15,                 1.4236,                0.97188,                 1.2478,                0.80899,                0.59893,                0.73554,                0.51056,                  1.158,                0.73105,                 1.1023,               0.008713,               0.008713,               0.008713
                     16,                 1.4199,                0.96677,                 1.2453,                0.80944,                0.59867,                0.73597,                0.51097,                 1.1556,                 0.7292,                  1.101,               0.008614,               0.008614,               0.008614
                     17,                 1.4144,                0.96526,                 1.2431,                0.81042,                0.59877,                0.73635,                0.51174,                 1.1534,                 0.7279,                    1.1,               0.008515,               0.008515,               0.008515
                     18,                 1.4134,                0.96193,                  1.241,                0.80935,                0.59958,                0.73664,                0.51232,                 1.1514,                0.72641,                 1.0987,               0.008416,               0.008416,               0.008416
                     19,                 1.4104,                0.95959,                 1.2406,                0.80987,                0.60004,                0.73693,                 0.5126,                 1.1498,                0.72554,                 1.0978,               0.008317,               0.008317,               0.008317
                     20,                 1.4077,                0.95526,                 1.2378,                0.80933,                0.60082,                0.73705,                0.51292,                  1.148,                0.72416,                 1.0968,               0.008218,               0.008218,               0.008218
                     21,                 1.4076,                0.95545,                 1.2361,                 0.8099,                0.60066,                 0.7371,                 0.5136,                 1.1467,                0.72294,                  1.096,               0.008119,               0.008119,               0.008119
                     22,                 1.4042,                0.95157,                 1.2351,                0.81133,                0.60043,                0.73739,                0.51392,                 1.1451,                0.72176,                 1.0952,                0.00802,                0.00802,                0.00802
